"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2719","Radio ""Yes"" Button","","Thu May 08 15:16:55 GMT 2025","broken","Thu May 08 15:16:58 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","322","search ""CMC"" in google","","Thu May 08 15:16:59 GMT 2025","broken","Thu May 08 15:16:59 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","1998","test get api","","Thu May 08 15:16:52 GMT 2025","passed","Thu May 08 15:16:54 GMT 2025","","Demo API","test get api",""
"","372","search youtube in google","","Thu May 08 15:16:58 GMT 2025","broken","Thu May 08 15:16:58 GMT 2025","","test google search","search youtube in google",""
"","322","search ""CMC"" in google","","Thu May 08 15:17:00 GMT 2025","broken","Thu May 08 15:17:00 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","368","search ""review cong ty"" in google","","Thu May 08 15:16:59 GMT 2025","broken","Thu May 08 15:17:00 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","449","Radio ""Impressive"" Button","","Thu May 08 15:16:58 GMT 2025","broken","Thu May 08 15:16:58 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","319","search ""fsoft"" in google","","Thu May 08 15:17:00 GMT 2025","broken","Thu May 08 15:17:00 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","318","search ""review cong ty"" in google","","Thu May 08 15:17:00 GMT 2025","broken","Thu May 08 15:17:01 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","441","test post api","","Thu May 08 15:16:54 GMT 2025","failed","Thu May 08 15:16:55 GMT 2025","","Demo API","test post api",""
"","328","search facebook in google","","Thu May 08 15:16:58 GMT 2025","broken","Thu May 08 15:16:59 GMT 2025","","test google search","search facebook in google",""
"","322","search ""fsoft"" in google","","Thu May 08 15:16:59 GMT 2025","broken","Thu May 08 15:16:59 GMT 2025","","test google search outline","search ""fsoft"" in google",""
