"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8997","Radio ""Yes"" Button","","2026-07-30","broken","2026-07-30","","Demo QA site","Radio ""Yes"" Button",""
"","370","search ""fsoft"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""fsoft"" in google",""
"","320","search ""review cong ty"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""review cong ty"" in google",""
"","370","search ""CMC"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""CMC"" in google",""
"","371","search ""review cong ty"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""review cong ty"" in google",""
"","1953","test get api","","2026-07-30","passed","2026-07-30","","Demo API","test get api",""
"","373","search youtube in google","","2026-07-30","broken","2026-07-30","","test google search","search youtube in google",""
"","368","search ""fsoft"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""fsoft"" in google",""
"","368","search ""CMC"" in google","","2026-07-30","broken","2026-07-30","","test google search outline","search ""CMC"" in google",""
"","372","search facebook in google","","2026-07-30","broken","2026-07-30","","test google search","search facebook in google",""
"","428","test post api","","2026-07-30","failed","2026-07-30","","Demo API","test post api",""
"","459","Radio ""Impressive"" Button","","2026-07-30","broken","2026-07-30","","Demo QA site","Radio ""Impressive"" Button",""
