"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1660","test get api","","Thu Apr 02 08:52:01 UTC 2026","passed","Thu Apr 02 08:52:03 UTC 2026","","Demo API","test get api",""
"","316","search ""fsoft"" in google","","Thu Apr 02 08:52:07 UTC 2026","broken","Thu Apr 02 08:52:08 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","314","search ""review cong ty"" in google","","Thu Apr 02 08:52:08 UTC 2026","broken","Thu Apr 02 08:52:08 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","320","search facebook in google","","Thu Apr 02 08:52:06 UTC 2026","broken","Thu Apr 02 08:52:06 UTC 2026","","test google search","search facebook in google",""
"","324","search youtube in google","","Thu Apr 02 08:52:05 UTC 2026","broken","Thu Apr 02 08:52:06 UTC 2026","","test google search","search youtube in google",""
"","320","search ""CMC"" in google","","Thu Apr 02 08:52:06 UTC 2026","broken","Thu Apr 02 08:52:06 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","318","search ""fsoft"" in google","","Thu Apr 02 08:52:06 UTC 2026","broken","Thu Apr 02 08:52:07 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","283","test post api","","Thu Apr 02 08:52:03 UTC 2026","failed","Thu Apr 02 08:52:03 UTC 2026","","Demo API","test post api",""
"","393","Radio ""Impressive"" Button","","Thu Apr 02 08:52:05 UTC 2026","broken","Thu Apr 02 08:52:05 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
"","316","search ""CMC"" in google","","Thu Apr 02 08:52:07 UTC 2026","broken","Thu Apr 02 08:52:07 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","1870","Radio ""Yes"" Button","","Thu Apr 02 08:52:03 UTC 2026","broken","Thu Apr 02 08:52:05 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","319","search ""review cong ty"" in google","","Thu Apr 02 08:52:07 UTC 2026","broken","Thu Apr 02 08:52:07 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
