"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","search ""review cong ty"" in google","","Fri Mar 21 15:15:30 GMT 2025","broken","Fri Mar 21 15:15:30 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","404","Radio ""Impressive"" Button","","Fri Mar 21 15:15:27 GMT 2025","broken","Fri Mar 21 15:15:27 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","315","search ""review cong ty"" in google","","Fri Mar 21 15:15:29 GMT 2025","broken","Fri Mar 21 15:15:29 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","318","search ""CMC"" in google","","Fri Mar 21 15:15:29 GMT 2025","broken","Fri Mar 21 15:15:29 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","249","test post api","","Fri Mar 21 15:15:24 GMT 2025","passed","Fri Mar 21 15:15:25 GMT 2025","","Demo API","test post api",""
"","320","search facebook in google","","Fri Mar 21 15:15:28 GMT 2025","broken","Fri Mar 21 15:15:28 GMT 2025","","test google search","search facebook in google",""
"","1723","test get api","","Fri Mar 21 15:15:22 GMT 2025","passed","Fri Mar 21 15:15:24 GMT 2025","","Demo API","test get api",""
"","316","search ""fsoft"" in google","","Fri Mar 21 15:15:28 GMT 2025","broken","Fri Mar 21 15:15:29 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","319","search youtube in google","","Fri Mar 21 15:15:27 GMT 2025","broken","Fri Mar 21 15:15:28 GMT 2025","","test google search","search youtube in google",""
"","320","search ""CMC"" in google","","Fri Mar 21 15:15:28 GMT 2025","broken","Fri Mar 21 15:15:28 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","314","search ""fsoft"" in google","","Fri Mar 21 15:15:29 GMT 2025","broken","Fri Mar 21 15:15:30 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","2324","Radio ""Yes"" Button","","Fri Mar 21 15:15:25 GMT 2025","broken","Fri Mar 21 15:15:27 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
