"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 14 15:15:36 GMT 2024","Mon Oct 14 15:15:36 GMT 2024","369","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Mon Oct 14 15:15:36 GMT 2024","Mon Oct 14 15:15:36 GMT 2024","366","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Mon Oct 14 15:15:34 GMT 2024","Mon Oct 14 15:15:34 GMT 2024","667","","test google search","","search facebook in google","","search facebook in google",""
"broken","Mon Oct 14 15:15:35 GMT 2024","Mon Oct 14 15:15:36 GMT 2024","366","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Mon Oct 14 15:15:14 GMT 2024","Mon Oct 14 15:15:14 GMT 2024","400","","Demo API","","test post api","","test post api",""
"broken","Mon Oct 14 15:15:34 GMT 2024","Mon Oct 14 15:15:35 GMT 2024","371","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Mon Oct 14 15:15:36 GMT 2024","Mon Oct 14 15:15:37 GMT 2024","363","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Mon Oct 14 15:15:33 GMT 2024","Mon Oct 14 15:15:33 GMT 2024","643","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Mon Oct 14 15:15:33 GMT 2024","Mon Oct 14 15:15:34 GMT 2024","372","","test google search","","search youtube in google","","search youtube in google",""
"broken","Mon Oct 14 15:15:14 GMT 2024","Mon Oct 14 15:15:33 GMT 2024","18558","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Mon Oct 14 15:15:35 GMT 2024","Mon Oct 14 15:15:35 GMT 2024","384","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Mon Oct 14 15:15:12 GMT 2024","Mon Oct 14 15:15:14 GMT 2024","1908","","Demo API","","test get api","","test get api",""
