"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","324","search ""fsoft"" in google","","Wed Jul 23 15:19:28 GMT 2025","broken","Wed Jul 23 15:19:28 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","318","search facebook in google","","Wed Jul 23 15:19:26 GMT 2025","broken","Wed Jul 23 15:19:26 GMT 2025","","test google search","search facebook in google",""
"","480","Radio ""Impressive"" Button","","Wed Jul 23 15:19:25 GMT 2025","broken","Wed Jul 23 15:19:25 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","321","search ""CMC"" in google","","Wed Jul 23 15:19:26 GMT 2025","broken","Wed Jul 23 15:19:26 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","384","search youtube in google","","Wed Jul 23 15:19:25 GMT 2025","broken","Wed Jul 23 15:19:26 GMT 2025","","test google search","search youtube in google",""
"","1646","test get api","","Wed Jul 23 15:19:00 GMT 2025","passed","Wed Jul 23 15:19:02 GMT 2025","","Demo API","test get api",""
"","317","search ""CMC"" in google","","Wed Jul 23 15:19:27 GMT 2025","broken","Wed Jul 23 15:19:28 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","320","search ""review cong ty"" in google","","Wed Jul 23 15:19:27 GMT 2025","broken","Wed Jul 23 15:19:27 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","325","test post api","","Wed Jul 23 15:19:02 GMT 2025","failed","Wed Jul 23 15:19:02 GMT 2025","","Demo API","test post api",""
"","368","search ""fsoft"" in google","","Wed Jul 23 15:19:26 GMT 2025","broken","Wed Jul 23 15:19:27 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","22964","Radio ""Yes"" Button","","Wed Jul 23 15:19:02 GMT 2025","broken","Wed Jul 23 15:19:25 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","317","search ""review cong ty"" in google","","Wed Jul 23 15:19:28 GMT 2025","broken","Wed Jul 23 15:19:28 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
