"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","search ""CMC"" in google","","Wed Oct 30 08:20:17 GMT 2024","broken","Wed Oct 30 08:20:18 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","1702","test get api","","Wed Oct 30 08:20:07 GMT 2024","passed","Wed Oct 30 08:20:09 GMT 2024","","Demo API","test get api",""
"","315","search ""review cong ty"" in google","","Wed Oct 30 08:20:17 GMT 2024","broken","Wed Oct 30 08:20:17 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
"","316","search ""fsoft"" in google","","Wed Oct 30 08:20:17 GMT 2024","broken","Wed Oct 30 08:20:17 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","319","search ""fsoft"" in google","","Wed Oct 30 08:20:18 GMT 2024","broken","Wed Oct 30 08:20:18 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","249","test post api","","Wed Oct 30 08:20:09 GMT 2024","passed","Wed Oct 30 08:20:09 GMT 2024","","Demo API","test post api",""
"","315","search ""review cong ty"" in google","","Wed Oct 30 08:20:18 GMT 2024","broken","Wed Oct 30 08:20:18 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
"","375","search ""CMC"" in google","","Wed Oct 30 08:20:16 GMT 2024","broken","Wed Oct 30 08:20:17 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","6002","Radio ""Yes"" Button","","Wed Oct 30 08:20:09 GMT 2024","broken","Wed Oct 30 08:20:15 GMT 2024","","Demo QA site","Radio ""Yes"" Button",""
"","391","Radio ""Impressive"" Button","","Wed Oct 30 08:20:15 GMT 2024","broken","Wed Oct 30 08:20:16 GMT 2024","","Demo QA site","Radio ""Impressive"" Button",""
"","321","search youtube in google","","Wed Oct 30 08:20:16 GMT 2024","broken","Wed Oct 30 08:20:16 GMT 2024","","test google search","search youtube in google",""
"","316","search facebook in google","","Wed Oct 30 08:20:16 GMT 2024","broken","Wed Oct 30 08:20:16 GMT 2024","","test google search","search facebook in google",""
