"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","search ""fsoft"" in google","","Wed Jan 01 08:18:03 GMT 2025","broken","Wed Jan 01 08:18:03 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","265","search ""CMC"" in google","","Wed Jan 01 08:18:03 GMT 2025","broken","Wed Jan 01 08:18:04 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","317","search ""CMC"" in google","","Wed Jan 01 08:18:02 GMT 2025","broken","Wed Jan 01 08:18:03 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","2315","Radio ""Yes"" Button","","Wed Jan 01 08:17:59 GMT 2025","broken","Wed Jan 01 08:18:01 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","368","test post api","","Wed Jan 01 08:17:59 GMT 2025","passed","Wed Jan 01 08:17:59 GMT 2025","","Demo API","test post api",""
"","361","search ""fsoft"" in google","","Wed Jan 01 08:18:04 GMT 2025","broken","Wed Jan 01 08:18:04 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","401","Radio ""Impressive"" Button","","Wed Jan 01 08:18:01 GMT 2025","broken","Wed Jan 01 08:18:02 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","320","search facebook in google","","Wed Jan 01 08:18:02 GMT 2025","broken","Wed Jan 01 08:18:02 GMT 2025","","test google search","search facebook in google",""
"","1931","test get api","","Wed Jan 01 08:17:57 GMT 2025","passed","Wed Jan 01 08:17:59 GMT 2025","","Demo API","test get api",""
"","315","search ""review cong ty"" in google","","Wed Jan 01 08:18:04 GMT 2025","broken","Wed Jan 01 08:18:04 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","323","search youtube in google","","Wed Jan 01 08:18:02 GMT 2025","broken","Wed Jan 01 08:18:02 GMT 2025","","test google search","search youtube in google",""
"","316","search ""review cong ty"" in google","","Wed Jan 01 08:18:03 GMT 2025","broken","Wed Jan 01 08:18:03 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
