"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","search facebook in google","","Thu Apr 17 08:20:49 GMT 2025","broken","Thu Apr 17 08:20:50 GMT 2025","","test google search","search facebook in google",""
"","320","search ""fsoft"" in google","","Thu Apr 17 08:20:50 GMT 2025","broken","Thu Apr 17 08:20:50 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","447","Radio ""Impressive"" Button","","Thu Apr 17 08:20:49 GMT 2025","broken","Thu Apr 17 08:20:49 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","313","search ""CMC"" in google","","Thu Apr 17 08:20:51 GMT 2025","broken","Thu Apr 17 08:20:51 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","322","search youtube in google","","Thu Apr 17 08:20:49 GMT 2025","broken","Thu Apr 17 08:20:49 GMT 2025","","test google search","search youtube in google",""
"","318","search ""fsoft"" in google","","Thu Apr 17 08:20:51 GMT 2025","broken","Thu Apr 17 08:20:51 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","12726","Radio ""Yes"" Button","","Thu Apr 17 08:20:36 GMT 2025","broken","Thu Apr 17 08:20:48 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","314","search ""review cong ty"" in google","","Thu Apr 17 08:20:51 GMT 2025","broken","Thu Apr 17 08:20:52 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","320","search ""CMC"" in google","","Thu Apr 17 08:20:50 GMT 2025","broken","Thu Apr 17 08:20:50 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","318","search ""review cong ty"" in google","","Thu Apr 17 08:20:50 GMT 2025","broken","Thu Apr 17 08:20:51 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","368","test post api","","Thu Apr 17 08:20:35 GMT 2025","passed","Thu Apr 17 08:20:36 GMT 2025","","Demo API","test post api",""
"","1895","test get api","","Thu Apr 17 08:20:33 GMT 2025","passed","Thu Apr 17 08:20:35 GMT 2025","","Demo API","test get api",""
