"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 21 15:11:34 GMT 2023","Fri Apr 21 15:11:35 GMT 2023","416","","Demo API","","test post api","","test post api",""
"broken","Fri Apr 21 15:11:44 GMT 2023","Fri Apr 21 15:11:45 GMT 2023","233","","test google search","","search youtube in google","","search youtube in google",""
"broken","Fri Apr 21 15:11:45 GMT 2023","Fri Apr 21 15:11:46 GMT 2023","210","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Fri Apr 21 15:11:45 GMT 2023","Fri Apr 21 15:11:45 GMT 2023","231","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Apr 21 15:11:35 GMT 2023","Fri Apr 21 15:11:44 GMT 2023","9077","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Fri Apr 21 15:11:45 GMT 2023","Fri Apr 21 15:11:45 GMT 2023","220","","test google search","","search facebook in google","","search facebook in google",""
"broken","Fri Apr 21 15:11:46 GMT 2023","Fri Apr 21 15:11:46 GMT 2023","200","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Fri Apr 21 15:11:44 GMT 2023","Fri Apr 21 15:11:44 GMT 2023","400","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Fri Apr 21 15:11:46 GMT 2023","Fri Apr 21 15:11:46 GMT 2023","223","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Apr 21 15:11:45 GMT 2023","Fri Apr 21 15:11:45 GMT 2023","241","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Fri Apr 21 15:11:32 GMT 2023","Fri Apr 21 15:11:34 GMT 2023","2124","","Demo API","","test get api","","test get api",""
"broken","Fri Apr 21 15:11:46 GMT 2023","Fri Apr 21 15:11:46 GMT 2023","196","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
