"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25846","Radio ""Yes"" Button","","Wed May 07 08:21:58 GMT 2025","broken","Wed May 07 08:22:24 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","421","search facebook in google","","Wed May 07 08:22:25 GMT 2025","broken","Wed May 07 08:22:25 GMT 2025","","test google search","search facebook in google",""
"","325","search ""review cong ty"" in google","","Wed May 07 08:22:26 GMT 2025","broken","Wed May 07 08:22:26 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","366","search ""fsoft"" in google","","Wed May 07 08:22:27 GMT 2025","broken","Wed May 07 08:22:27 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","1894","test get api","","Wed May 07 08:21:56 GMT 2025","passed","Wed May 07 08:21:58 GMT 2025","","Demo API","test get api",""
"","367","search ""CMC"" in google","","Wed May 07 08:22:26 GMT 2025","broken","Wed May 07 08:22:27 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","331","test post api","","Wed May 07 08:21:58 GMT 2025","failed","Wed May 07 08:21:58 GMT 2025","","Demo API","test post api",""
"","542","Radio ""Impressive"" Button","","Wed May 07 08:22:24 GMT 2025","broken","Wed May 07 08:22:25 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","370","search ""CMC"" in google","","Wed May 07 08:22:25 GMT 2025","broken","Wed May 07 08:22:26 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","324","search youtube in google","","Wed May 07 08:22:25 GMT 2025","broken","Wed May 07 08:22:25 GMT 2025","","test google search","search youtube in google",""
"","369","search ""fsoft"" in google","","Wed May 07 08:22:26 GMT 2025","broken","Wed May 07 08:22:26 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","317","search ""review cong ty"" in google","","Wed May 07 08:22:27 GMT 2025","broken","Wed May 07 08:22:28 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
