"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 12 08:16:50 GMT 2024","Fri Jul 12 08:16:59 GMT 2024","8984","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Fri Jul 12 08:17:01 GMT 2024","Fri Jul 12 08:17:02 GMT 2024","265","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Fri Jul 12 08:16:48 GMT 2024","Fri Jul 12 08:16:50 GMT 2024","1962","","Demo API","","test get api","","test get api",""
"broken","Fri Jul 12 08:17:01 GMT 2024","Fri Jul 12 08:17:01 GMT 2024","217","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Jul 12 08:17:02 GMT 2024","Fri Jul 12 08:17:02 GMT 2024","265","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Fri Jul 12 08:17:01 GMT 2024","Fri Jul 12 08:17:01 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Fri Jul 12 08:16:59 GMT 2024","Fri Jul 12 08:17:00 GMT 2024","398","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Fri Jul 12 08:17:00 GMT 2024","Fri Jul 12 08:17:01 GMT 2024","225","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Fri Jul 12 08:16:50 GMT 2024","Fri Jul 12 08:16:50 GMT 2024","429","","Demo API","","test post api","","test post api",""
"broken","Fri Jul 12 08:17:01 GMT 2024","Fri Jul 12 08:17:01 GMT 2024","267","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Fri Jul 12 08:17:00 GMT 2024","Fri Jul 12 08:17:00 GMT 2024","270","","test google search","","search facebook in google","","search facebook in google",""
"broken","Fri Jul 12 08:17:00 GMT 2024","Fri Jul 12 08:17:00 GMT 2024","225","","test google search","","search youtube in google","","search youtube in google",""
