"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","search ""CMC"" in google","","Wed Jan 07 08:26:02 UTC 2026","broken","Wed Jan 07 08:26:02 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","318","search ""review cong ty"" in google","","Wed Jan 07 08:26:03 UTC 2026","broken","Wed Jan 07 08:26:03 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","419","search ""fsoft"" in google","","Wed Jan 07 08:26:01 UTC 2026","broken","Wed Jan 07 08:26:02 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","508","Radio ""Impressive"" Button","","Wed Jan 07 08:26:00 UTC 2026","broken","Wed Jan 07 08:26:00 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
"","315","search ""fsoft"" in google","","Wed Jan 07 08:26:02 UTC 2026","broken","Wed Jan 07 08:26:03 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","1882","test get api","","Wed Jan 07 08:25:49 UTC 2026","passed","Wed Jan 07 08:25:51 UTC 2026","","Demo API","test get api",""
"","324","search ""CMC"" in google","","Wed Jan 07 08:26:01 UTC 2026","broken","Wed Jan 07 08:26:01 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","8637","Radio ""Yes"" Button","","Wed Jan 07 08:25:51 UTC 2026","broken","Wed Jan 07 08:26:00 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","348","search facebook in google","","Wed Jan 07 08:26:00 UTC 2026","broken","Wed Jan 07 08:26:01 UTC 2026","","test google search","search facebook in google",""
"","318","search ""review cong ty"" in google","","Wed Jan 07 08:26:02 UTC 2026","broken","Wed Jan 07 08:26:02 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","134","test post api","","Wed Jan 07 08:25:51 UTC 2026","failed","Wed Jan 07 08:25:51 UTC 2026","","Demo API","test post api",""
"","328","search youtube in google","","Wed Jan 07 08:26:00 UTC 2026","broken","Wed Jan 07 08:26:00 UTC 2026","","test google search","search youtube in google",""
