"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","426","test post api","","Mon Aug 04 15:19:27 GMT 2025","failed","Mon Aug 04 15:19:27 GMT 2025","","Demo API","test post api",""
"","1028","search youtube in google","","Mon Aug 04 15:19:39 GMT 2025","broken","Mon Aug 04 15:19:40 GMT 2025","","test google search","search youtube in google",""
"","317","search ""fsoft"" in google","","Mon Aug 04 15:19:42 GMT 2025","broken","Mon Aug 04 15:19:42 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","315","search ""review cong ty"" in google","","Mon Aug 04 15:19:41 GMT 2025","broken","Mon Aug 04 15:19:42 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","316","search ""CMC"" in google","","Mon Aug 04 15:19:42 GMT 2025","broken","Mon Aug 04 15:19:42 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","321","search ""CMC"" in google","","Mon Aug 04 15:19:41 GMT 2025","broken","Mon Aug 04 15:19:41 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","314","search ""review cong ty"" in google","","Mon Aug 04 15:19:42 GMT 2025","broken","Mon Aug 04 15:19:43 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","367","search facebook in google","","Mon Aug 04 15:19:40 GMT 2025","broken","Mon Aug 04 15:19:41 GMT 2025","","test google search","search facebook in google",""
"","1784","test get api","","Mon Aug 04 15:19:25 GMT 2025","passed","Mon Aug 04 15:19:27 GMT 2025","","Demo API","test get api",""
"","325","search ""fsoft"" in google","","Mon Aug 04 15:19:41 GMT 2025","broken","Mon Aug 04 15:19:41 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","546","Radio ""Impressive"" Button","","Mon Aug 04 15:19:39 GMT 2025","broken","Mon Aug 04 15:19:39 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","11622","Radio ""Yes"" Button","","Mon Aug 04 15:19:27 GMT 2025","broken","Mon Aug 04 15:19:39 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
