"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 08 15:11:15 GMT 2024","Mon Apr 08 15:11:16 GMT 2024","303","","Demo API","","test post api","","test post api",""
"broken","Mon Apr 08 15:11:37 GMT 2024","Mon Apr 08 15:11:37 GMT 2024","230","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Mon Apr 08 15:11:36 GMT 2024","Mon Apr 08 15:11:36 GMT 2024","282","","test google search","","search youtube in google","","search youtube in google",""
"broken","Mon Apr 08 15:11:36 GMT 2024","Mon Apr 08 15:11:36 GMT 2024","546","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Mon Apr 08 15:11:38 GMT 2024","Mon Apr 08 15:11:38 GMT 2024","224","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Mon Apr 08 15:11:37 GMT 2024","Mon Apr 08 15:11:37 GMT 2024","268","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Mon Apr 08 15:11:16 GMT 2024","Mon Apr 08 15:11:35 GMT 2024","19793","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Mon Apr 08 15:11:38 GMT 2024","Mon Apr 08 15:11:38 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Mon Apr 08 15:11:14 GMT 2024","Mon Apr 08 15:11:15 GMT 2024","1783","","Demo API","","test get api","","test get api",""
"broken","Mon Apr 08 15:11:36 GMT 2024","Mon Apr 08 15:11:37 GMT 2024","269","","test google search","","search facebook in google","","search facebook in google",""
"broken","Mon Apr 08 15:11:37 GMT 2024","Mon Apr 08 15:11:37 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Mon Apr 08 15:11:37 GMT 2024","Mon Apr 08 15:11:38 GMT 2024","216","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
