"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","321","search ""CMC"" in google","","Thu Nov 07 08:18:09 GMT 2024","broken","Thu Nov 07 08:18:10 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","338","search ""fsoft"" in google","","Thu Nov 07 08:18:11 GMT 2024","broken","Thu Nov 07 08:18:11 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","370","search facebook in google","","Thu Nov 07 08:18:09 GMT 2024","broken","Thu Nov 07 08:18:09 GMT 2024","","test google search","search facebook in google",""
"","348","test post api","","Thu Nov 07 08:17:59 GMT 2024","passed","Thu Nov 07 08:17:59 GMT 2024","","Demo API","test post api",""
"","448","Radio ""Impressive"" Button","","Thu Nov 07 08:18:08 GMT 2024","broken","Thu Nov 07 08:18:09 GMT 2024","","Demo QA site","Radio ""Impressive"" Button",""
"","319","search ""review cong ty"" in google","","Thu Nov 07 08:18:10 GMT 2024","broken","Thu Nov 07 08:18:10 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
"","324","search youtube in google","","Thu Nov 07 08:18:09 GMT 2024","broken","Thu Nov 07 08:18:09 GMT 2024","","test google search","search youtube in google",""
"","316","search ""CMC"" in google","","Thu Nov 07 08:18:10 GMT 2024","broken","Thu Nov 07 08:18:11 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","367","search ""review cong ty"" in google","","Thu Nov 07 08:18:11 GMT 2024","broken","Thu Nov 07 08:18:11 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
"","320","search ""fsoft"" in google","","Thu Nov 07 08:18:10 GMT 2024","broken","Thu Nov 07 08:18:10 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","2022","test get api","","Thu Nov 07 08:17:56 GMT 2024","passed","Thu Nov 07 08:17:58 GMT 2024","","Demo API","test get api",""
"","9252","Radio ""Yes"" Button","","Thu Nov 07 08:17:59 GMT 2024","broken","Thu Nov 07 08:18:08 GMT 2024","","Demo QA site","Radio ""Yes"" Button",""
