"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","268","search ""fsoft"" in google","","Wed Dec 03 08:24:18 UTC 2025","broken","Wed Dec 03 08:24:18 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","263","search ""fsoft"" in google","","Wed Dec 03 08:24:19 UTC 2025","broken","Wed Dec 03 08:24:19 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","277","search youtube in google","","Wed Dec 03 08:24:17 UTC 2025","broken","Wed Dec 03 08:24:17 UTC 2025","","test google search","search youtube in google",""
"","9206","Radio ""Yes"" Button","","Wed Dec 03 08:24:07 UTC 2025","broken","Wed Dec 03 08:24:17 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","506","Radio ""Impressive"" Button","","Wed Dec 03 08:24:17 UTC 2025","broken","Wed Dec 03 08:24:17 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","217","test post api","","Wed Dec 03 08:24:07 UTC 2025","failed","Wed Dec 03 08:24:07 UTC 2025","","Demo API","test post api",""
"","264","search ""review cong ty"" in google","","Wed Dec 03 08:24:19 UTC 2025","broken","Wed Dec 03 08:24:19 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","321","search ""CMC"" in google","","Wed Dec 03 08:24:18 UTC 2025","broken","Wed Dec 03 08:24:18 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","1974","test get api","","Wed Dec 03 08:24:05 UTC 2025","passed","Wed Dec 03 08:24:07 UTC 2025","","Demo API","test get api",""
"","271","search facebook in google","","Wed Dec 03 08:24:17 UTC 2025","broken","Wed Dec 03 08:24:18 UTC 2025","","test google search","search facebook in google",""
"","266","search ""CMC"" in google","","Wed Dec 03 08:24:19 UTC 2025","broken","Wed Dec 03 08:24:19 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","267","search ""review cong ty"" in google","","Wed Dec 03 08:24:18 UTC 2025","broken","Wed Dec 03 08:24:18 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
