"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","search ""review cong ty"" in google","","Fri May 08 09:14:52 UTC 2026","broken","Fri May 08 09:14:53 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","316","search ""CMC"" in google","","Fri May 08 09:14:53 UTC 2026","broken","Fri May 08 09:14:53 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","350","search youtube in google","","Fri May 08 09:14:51 UTC 2026","broken","Fri May 08 09:14:51 UTC 2026","","test google search","search youtube in google",""
"","1963","test get api","","Fri May 08 09:14:41 UTC 2026","passed","Fri May 08 09:14:43 UTC 2026","","Demo API","test get api",""
"","315","search ""fsoft"" in google","","Fri May 08 09:14:53 UTC 2026","broken","Fri May 08 09:14:53 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","367","test post api","","Fri May 08 09:14:43 UTC 2026","failed","Fri May 08 09:14:44 UTC 2026","","Demo API","test post api",""
"","407","Radio ""Impressive"" Button","","Fri May 08 09:14:50 UTC 2026","broken","Fri May 08 09:14:51 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
"","6663","Radio ""Yes"" Button","","Fri May 08 09:14:44 UTC 2026","broken","Fri May 08 09:14:50 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","318","search ""fsoft"" in google","","Fri May 08 09:14:52 UTC 2026","broken","Fri May 08 09:14:52 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","322","search ""CMC"" in google","","Fri May 08 09:14:52 UTC 2026","broken","Fri May 08 09:14:52 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","327","search facebook in google","","Fri May 08 09:14:51 UTC 2026","broken","Fri May 08 09:14:52 UTC 2026","","test google search","search facebook in google",""
"","322","search ""review cong ty"" in google","","Fri May 08 09:14:53 UTC 2026","broken","Fri May 08 09:14:54 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
