"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 17 08:15:31 GMT 2024","Wed Jan 17 08:15:31 GMT 2024","219","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Wed Jan 17 08:15:31 GMT 2024","Wed Jan 17 08:15:31 GMT 2024","264","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed Jan 17 08:15:29 GMT 2024","Wed Jan 17 08:15:29 GMT 2024","366","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Wed Jan 17 08:15:29 GMT 2024","Wed Jan 17 08:15:29 GMT 2024","269","","test google search","","search youtube in google","","search youtube in google",""
"broken","Wed Jan 17 08:15:30 GMT 2024","Wed Jan 17 08:15:30 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed Jan 17 08:15:21 GMT 2024","Wed Jan 17 08:15:29 GMT 2024","7185","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Wed Jan 17 08:15:29 GMT 2024","Wed Jan 17 08:15:30 GMT 2024","267","","test google search","","search facebook in google","","search facebook in google",""
"broken","Wed Jan 17 08:15:30 GMT 2024","Wed Jan 17 08:15:31 GMT 2024","265","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Wed Jan 17 08:15:30 GMT 2024","Wed Jan 17 08:15:30 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Wed Jan 17 08:15:21 GMT 2024","Wed Jan 17 08:15:21 GMT 2024","268","","Demo API","","test post api","","test post api",""
"passed","Wed Jan 17 08:15:19 GMT 2024","Wed Jan 17 08:15:21 GMT 2024","1764","","Demo API","","test get api","","test get api",""
"broken","Wed Jan 17 08:15:30 GMT 2024","Wed Jan 17 08:15:30 GMT 2024","271","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
