"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1837","test get api","","Mon Dec 22 15:19:00 UTC 2025","passed","Mon Dec 22 15:19:02 UTC 2025","","Demo API","test get api",""
"","317","search ""CMC"" in google","","Mon Dec 22 15:19:13 UTC 2025","broken","Mon Dec 22 15:19:13 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","273","search youtube in google","","Mon Dec 22 15:19:11 UTC 2025","broken","Mon Dec 22 15:19:12 UTC 2025","","test google search","search youtube in google",""
"","270","search ""fsoft"" in google","","Mon Dec 22 15:19:12 UTC 2025","broken","Mon Dec 22 15:19:13 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","316","search ""review cong ty"" in google","","Mon Dec 22 15:19:13 UTC 2025","broken","Mon Dec 22 15:19:14 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","501","Radio ""Impressive"" Button","","Mon Dec 22 15:19:11 UTC 2025","broken","Mon Dec 22 15:19:11 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","275","search ""review cong ty"" in google","","Mon Dec 22 15:19:13 UTC 2025","broken","Mon Dec 22 15:19:13 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","8647","Radio ""Yes"" Button","","Mon Dec 22 15:19:02 UTC 2025","broken","Mon Dec 22 15:19:11 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","315","search ""fsoft"" in google","","Mon Dec 22 15:19:13 UTC 2025","broken","Mon Dec 22 15:19:13 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","133","test post api","","Mon Dec 22 15:19:02 UTC 2025","failed","Mon Dec 22 15:19:02 UTC 2025","","Demo API","test post api",""
"","369","search facebook in google","","Mon Dec 22 15:19:12 UTC 2025","broken","Mon Dec 22 15:19:12 UTC 2025","","test google search","search facebook in google",""
"","320","search ""CMC"" in google","","Mon Dec 22 15:19:12 UTC 2025","broken","Mon Dec 22 15:19:12 UTC 2025","","test google search outline","search ""CMC"" in google",""
