"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 30 08:14:46 GMT 2023","Mon Oct 30 08:14:46 GMT 2023","289","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Mon Oct 30 08:14:45 GMT 2023","Mon Oct 30 08:14:46 GMT 2023","365","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Mon Oct 30 08:14:45 GMT 2023","Mon Oct 30 08:14:45 GMT 2023","336","","test google search","","search facebook in google","","search facebook in google",""
"broken","Mon Oct 30 08:14:44 GMT 2023","Mon Oct 30 08:14:45 GMT 2023","393","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Mon Oct 30 08:14:46 GMT 2023","Mon Oct 30 08:14:46 GMT 2023","274","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Mon Oct 30 08:14:47 GMT 2023","Mon Oct 30 08:14:47 GMT 2023","322","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Mon Oct 30 08:14:32 GMT 2023","Mon Oct 30 08:14:44 GMT 2023","12416","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"passed","Mon Oct 30 08:14:31 GMT 2023","Mon Oct 30 08:14:32 GMT 2023","498","","Demo API","","test post api","","test post api",""
"broken","Mon Oct 30 08:14:47 GMT 2023","Mon Oct 30 08:14:47 GMT 2023","279","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Mon Oct 30 08:14:46 GMT 2023","Mon Oct 30 08:14:47 GMT 2023","280","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Mon Oct 30 08:14:29 GMT 2023","Mon Oct 30 08:14:31 GMT 2023","2538","","Demo API","","test get api","","test get api",""
"broken","Mon Oct 30 08:14:45 GMT 2023","Mon Oct 30 08:14:45 GMT 2023","275","","test google search","","search youtube in google","","search youtube in google",""
