"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","search ""fsoft"" in google","","Tue Jun 17 15:18:28 GMT 2025","broken","Tue Jun 17 15:18:29 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","317","search ""review cong ty"" in google","","Tue Jun 17 15:18:29 GMT 2025","broken","Tue Jun 17 15:18:29 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","328","search youtube in google","","Tue Jun 17 15:18:27 GMT 2025","broken","Tue Jun 17 15:18:28 GMT 2025","","test google search","search youtube in google",""
"","407","Radio ""Impressive"" Button","","Tue Jun 17 15:18:27 GMT 2025","broken","Tue Jun 17 15:18:27 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","316","search ""fsoft"" in google","","Tue Jun 17 15:18:29 GMT 2025","broken","Tue Jun 17 15:18:30 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","319","search ""CMC"" in google","","Tue Jun 17 15:18:28 GMT 2025","broken","Tue Jun 17 15:18:28 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","317","search ""CMC"" in google","","Tue Jun 17 15:18:29 GMT 2025","broken","Tue Jun 17 15:18:29 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","319","search facebook in google","","Tue Jun 17 15:18:28 GMT 2025","broken","Tue Jun 17 15:18:28 GMT 2025","","test google search","search facebook in google",""
"","22208","Radio ""Yes"" Button","","Tue Jun 17 15:18:05 GMT 2025","broken","Tue Jun 17 15:18:27 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","367","test post api","","Tue Jun 17 15:18:04 GMT 2025","failed","Tue Jun 17 15:18:05 GMT 2025","","Demo API","test post api",""
"","318","search ""review cong ty"" in google","","Tue Jun 17 15:18:30 GMT 2025","broken","Tue Jun 17 15:18:30 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","1685","test get api","","Tue Jun 17 15:18:02 GMT 2025","passed","Tue Jun 17 15:18:04 GMT 2025","","Demo API","test get api",""
