"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 20 08:17:16 GMT 2024","Tue Aug 20 08:17:17 GMT 2024","353","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Tue Aug 20 08:17:18 GMT 2024","Tue Aug 20 08:17:18 GMT 2024","268","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Aug 20 08:17:17 GMT 2024","Tue Aug 20 08:17:17 GMT 2024","272","","test google search","","search youtube in google","","search youtube in google",""
"broken","Tue Aug 20 08:17:17 GMT 2024","Tue Aug 20 08:17:18 GMT 2024","277","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Aug 20 08:17:14 GMT 2024","Tue Aug 20 08:17:16 GMT 2024","1954","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Tue Aug 20 08:17:18 GMT 2024","Tue Aug 20 08:17:19 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Aug 20 08:17:19 GMT 2024","Tue Aug 20 08:17:19 GMT 2024","214","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Tue Aug 20 08:17:14 GMT 2024","Tue Aug 20 08:17:14 GMT 2024","383","","Demo API","","test post api","","test post api",""
"broken","Tue Aug 20 08:17:18 GMT 2024","Tue Aug 20 08:17:18 GMT 2024","222","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Tue Aug 20 08:17:12 GMT 2024","Tue Aug 20 08:17:14 GMT 2024","2039","","Demo API","","test get api","","test get api",""
"broken","Tue Aug 20 08:17:17 GMT 2024","Tue Aug 20 08:17:17 GMT 2024","269","","test google search","","search facebook in google","","search facebook in google",""
"broken","Tue Aug 20 08:17:18 GMT 2024","Tue Aug 20 08:17:18 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
