"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","search ""review cong ty"" in google","","Fri Oct 17 15:16:57 UTC 2025","broken","Fri Oct 17 15:16:58 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","274","search ""CMC"" in google","","Fri Oct 17 15:16:56 UTC 2025","broken","Fri Oct 17 15:16:57 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","617","search ""fsoft"" in google","","Fri Oct 17 15:16:57 UTC 2025","broken","Fri Oct 17 15:16:57 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","278","search youtube in google","","Fri Oct 17 15:16:56 UTC 2025","broken","Fri Oct 17 15:16:56 UTC 2025","","test google search","search youtube in google",""
"","370","search facebook in google","","Fri Oct 17 15:16:56 UTC 2025","broken","Fri Oct 17 15:16:56 UTC 2025","","test google search","search facebook in google",""
"","212","test post api","","Fri Oct 17 15:16:39 UTC 2025","failed","Fri Oct 17 15:16:39 UTC 2025","","Demo API","test post api",""
"","319","search ""CMC"" in google","","Fri Oct 17 15:16:58 UTC 2025","broken","Fri Oct 17 15:16:58 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","318","search ""review cong ty"" in google","","Fri Oct 17 15:16:58 UTC 2025","broken","Fri Oct 17 15:16:58 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","581","Radio ""Impressive"" Button","","Fri Oct 17 15:16:55 UTC 2025","broken","Fri Oct 17 15:16:56 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","1648","test get api","","Fri Oct 17 15:16:37 UTC 2025","passed","Fri Oct 17 15:16:38 UTC 2025","","Demo API","test get api",""
"","315","search ""fsoft"" in google","","Fri Oct 17 15:16:58 UTC 2025","broken","Fri Oct 17 15:16:58 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","16248","Radio ""Yes"" Button","","Fri Oct 17 15:16:39 UTC 2025","broken","Fri Oct 17 15:16:55 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
