"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6898","Radio ""Yes"" Button","","Fri Feb 27 08:36:44 UTC 2026","broken","Fri Feb 27 08:36:51 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","353","search ""review cong ty"" in google","","Fri Feb 27 08:36:53 UTC 2026","broken","Fri Feb 27 08:36:54 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","316","search ""review cong ty"" in google","","Fri Feb 27 08:36:54 UTC 2026","broken","Fri Feb 27 08:36:55 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","900","search youtube in google","","Fri Feb 27 08:36:51 UTC 2026","broken","Fri Feb 27 08:36:52 UTC 2026","","test google search","search youtube in google",""
"","316","search ""CMC"" in google","","Fri Feb 27 08:36:54 UTC 2026","broken","Fri Feb 27 08:36:54 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","370","search facebook in google","","Fri Feb 27 08:36:52 UTC 2026","broken","Fri Feb 27 08:36:52 UTC 2026","","test google search","search facebook in google",""
"","155","test post api","","Fri Feb 27 08:36:44 UTC 2026","failed","Fri Feb 27 08:36:44 UTC 2026","","Demo API","test post api",""
"","318","search ""fsoft"" in google","","Fri Feb 27 08:36:54 UTC 2026","broken","Fri Feb 27 08:36:54 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","1931","test get api","","Fri Feb 27 08:36:42 UTC 2026","passed","Fri Feb 27 08:36:44 UTC 2026","","Demo API","test get api",""
"","441","search ""CMC"" in google","","Fri Feb 27 08:36:52 UTC 2026","broken","Fri Feb 27 08:36:53 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","319","search ""fsoft"" in google","","Fri Feb 27 08:36:53 UTC 2026","broken","Fri Feb 27 08:36:53 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","449","Radio ""Impressive"" Button","","Fri Feb 27 08:36:51 UTC 2026","broken","Fri Feb 27 08:36:51 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
