"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","359","test post api","","Thu Jun 05 15:17:20 GMT 2025","failed","Thu Jun 05 15:17:20 GMT 2025","","Demo API","test post api",""
"","1869","test get api","","Thu Jun 05 15:17:18 GMT 2025","passed","Thu Jun 05 15:17:19 GMT 2025","","Demo API","test get api",""
"","313","search ""fsoft"" in google","","Thu Jun 05 15:17:36 GMT 2025","broken","Thu Jun 05 15:17:36 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","450","Radio ""Impressive"" Button","","Thu Jun 05 15:17:33 GMT 2025","broken","Thu Jun 05 15:17:34 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","318","search ""CMC"" in google","","Thu Jun 05 15:17:35 GMT 2025","broken","Thu Jun 05 15:17:36 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","320","search facebook in google","","Thu Jun 05 15:17:34 GMT 2025","broken","Thu Jun 05 15:17:34 GMT 2025","","test google search","search facebook in google",""
"","372","search youtube in google","","Thu Jun 05 15:17:34 GMT 2025","broken","Thu Jun 05 15:17:34 GMT 2025","","test google search","search youtube in google",""
"","366","search ""review cong ty"" in google","","Thu Jun 05 15:17:35 GMT 2025","broken","Thu Jun 05 15:17:35 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","364","search ""review cong ty"" in google","","Thu Jun 05 15:17:36 GMT 2025","broken","Thu Jun 05 15:17:36 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","422","search ""fsoft"" in google","","Thu Jun 05 15:17:35 GMT 2025","broken","Thu Jun 05 15:17:35 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","329","search ""CMC"" in google","","Thu Jun 05 15:17:34 GMT 2025","broken","Thu Jun 05 15:17:35 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","13181","Radio ""Yes"" Button","","Thu Jun 05 15:17:20 GMT 2025","broken","Thu Jun 05 15:17:33 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
