"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2324","Radio ""Yes"" Button","","Mon Dec 16 15:16:17 GMT 2024","broken","Mon Dec 16 15:16:19 GMT 2024","","Demo QA site","Radio ""Yes"" Button",""
"","318","search ""CMC"" in google","","Mon Dec 16 15:16:20 GMT 2024","broken","Mon Dec 16 15:16:21 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","405","Radio ""Impressive"" Button","","Mon Dec 16 15:16:19 GMT 2024","broken","Mon Dec 16 15:16:20 GMT 2024","","Demo QA site","Radio ""Impressive"" Button",""
"","317","search ""fsoft"" in google","","Mon Dec 16 15:16:22 GMT 2024","broken","Mon Dec 16 15:16:22 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","398","test post api","","Mon Dec 16 15:16:17 GMT 2024","passed","Mon Dec 16 15:16:17 GMT 2024","","Demo API","test post api",""
"","316","search ""CMC"" in google","","Mon Dec 16 15:16:21 GMT 2024","broken","Mon Dec 16 15:16:22 GMT 2024","","test google search outline","search ""CMC"" in google",""
"","318","search ""fsoft"" in google","","Mon Dec 16 15:16:21 GMT 2024","broken","Mon Dec 16 15:16:21 GMT 2024","","test google search outline","search ""fsoft"" in google",""
"","2004","test get api","","Mon Dec 16 15:16:14 GMT 2024","passed","Mon Dec 16 15:16:16 GMT 2024","","Demo API","test get api",""
"","316","search facebook in google","","Mon Dec 16 15:16:20 GMT 2024","broken","Mon Dec 16 15:16:20 GMT 2024","","test google search","search facebook in google",""
"","321","search youtube in google","","Mon Dec 16 15:16:20 GMT 2024","broken","Mon Dec 16 15:16:20 GMT 2024","","test google search","search youtube in google",""
"","313","search ""review cong ty"" in google","","Mon Dec 16 15:16:22 GMT 2024","broken","Mon Dec 16 15:16:22 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
"","319","search ""review cong ty"" in google","","Mon Dec 16 15:16:21 GMT 2024","broken","Mon Dec 16 15:16:21 GMT 2024","","test google search outline","search ""review cong ty"" in google",""
