"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","search ""review cong ty"" in google","","Thu Jul 10 08:22:54 GMT 2025","broken","Thu Jul 10 08:22:55 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","1600","test get api","","Thu Jul 10 08:22:41 GMT 2025","passed","Thu Jul 10 08:22:42 GMT 2025","","Demo API","test get api",""
"","266","test post api","","Thu Jul 10 08:22:42 GMT 2025","failed","Thu Jul 10 08:22:43 GMT 2025","","Demo API","test post api",""
"","368","search ""fsoft"" in google","","Thu Jul 10 08:22:54 GMT 2025","broken","Thu Jul 10 08:22:54 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","466","Radio ""Impressive"" Button","","Thu Jul 10 08:22:53 GMT 2025","broken","Thu Jul 10 08:22:53 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","373","search ""CMC"" in google","","Thu Jul 10 08:22:54 GMT 2025","broken","Thu Jul 10 08:22:54 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","9814","Radio ""Yes"" Button","","Thu Jul 10 08:22:43 GMT 2025","broken","Thu Jul 10 08:22:52 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","373","search youtube in google","","Thu Jul 10 08:22:53 GMT 2025","broken","Thu Jul 10 08:22:53 GMT 2025","","test google search","search youtube in google",""
"","317","search facebook in google","","Thu Jul 10 08:22:53 GMT 2025","broken","Thu Jul 10 08:22:54 GMT 2025","","test google search","search facebook in google",""
"","318","search ""CMC"" in google","","Thu Jul 10 08:22:55 GMT 2025","broken","Thu Jul 10 08:22:55 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","317","search ""fsoft"" in google","","Thu Jul 10 08:22:55 GMT 2025","broken","Thu Jul 10 08:22:55 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","315","search ""review cong ty"" in google","","Thu Jul 10 08:22:55 GMT 2025","broken","Thu Jul 10 08:22:56 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
