"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","search ""review cong ty"" in google","","Fri Mar 06 08:34:02 UTC 2026","broken","Fri Mar 06 08:34:03 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","315","search ""fsoft"" in google","","Fri Mar 06 08:34:02 UTC 2026","broken","Fri Mar 06 08:34:02 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","959","Radio ""Impressive"" Button","","Fri Mar 06 08:33:59 UTC 2026","broken","Fri Mar 06 08:34:00 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
"","6240","Radio ""Yes"" Button","","Fri Mar 06 08:33:52 UTC 2026","broken","Fri Mar 06 08:33:59 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","321","search facebook in google","","Fri Mar 06 08:34:00 UTC 2026","broken","Fri Mar 06 08:34:00 UTC 2026","","test google search","search facebook in google",""
"","316","search ""review cong ty"" in google","","Fri Mar 06 08:34:01 UTC 2026","broken","Fri Mar 06 08:34:02 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","361","search ""CMC"" in google","","Fri Mar 06 08:34:02 UTC 2026","broken","Fri Mar 06 08:34:02 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","1933","test get api","","Fri Mar 06 08:33:50 UTC 2026","passed","Fri Mar 06 08:33:52 UTC 2026","","Demo API","test get api",""
"","345","search ""fsoft"" in google","","Fri Mar 06 08:34:01 UTC 2026","broken","Fri Mar 06 08:34:01 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","423","search ""CMC"" in google","","Fri Mar 06 08:34:01 UTC 2026","broken","Fri Mar 06 08:34:01 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","497","search youtube in google","","Fri Mar 06 08:34:00 UTC 2026","broken","Fri Mar 06 08:34:00 UTC 2026","","test google search","search youtube in google",""
"","119","test post api","","Fri Mar 06 08:33:52 UTC 2026","failed","Fri Mar 06 08:33:52 UTC 2026","","Demo API","test post api",""
