"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","318","search ""review cong ty"" in google","","Mon Oct 06 08:21:29 UTC 2025","broken","Mon Oct 06 08:21:30 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","367","search ""fsoft"" in google","","Mon Oct 06 08:21:30 UTC 2025","broken","Mon Oct 06 08:21:30 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","251","test post api","","Mon Oct 06 08:21:19 UTC 2025","failed","Mon Oct 06 08:21:19 UTC 2025","","Demo API","test post api",""
"","8596","Radio ""Yes"" Button","","Mon Oct 06 08:21:19 UTC 2025","broken","Mon Oct 06 08:21:28 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","375","search facebook in google","","Mon Oct 06 08:21:28 UTC 2025","broken","Mon Oct 06 08:21:29 UTC 2025","","test google search","search facebook in google",""
"","272","search ""CMC"" in google","","Mon Oct 06 08:21:29 UTC 2025","broken","Mon Oct 06 08:21:29 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","1678","test get api","","Mon Oct 06 08:21:17 UTC 2025","passed","Mon Oct 06 08:21:19 UTC 2025","","Demo API","test get api",""
"","274","search ""review cong ty"" in google","","Mon Oct 06 08:21:30 UTC 2025","broken","Mon Oct 06 08:21:31 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","275","search youtube in google","","Mon Oct 06 08:21:28 UTC 2025","broken","Mon Oct 06 08:21:28 UTC 2025","","test google search","search youtube in google",""
"","316","search ""fsoft"" in google","","Mon Oct 06 08:21:29 UTC 2025","broken","Mon Oct 06 08:21:29 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","273","search ""CMC"" in google","","Mon Oct 06 08:21:30 UTC 2025","broken","Mon Oct 06 08:21:30 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","393","Radio ""Impressive"" Button","","Mon Oct 06 08:21:28 UTC 2025","broken","Mon Oct 06 08:21:28 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
