"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 02 08:17:25 GMT 2023","Thu Mar 02 08:17:29 GMT 2023","4298","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Thu Mar 02 08:17:21 GMT 2023","Thu Mar 02 08:17:25 GMT 2023","4272","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Thu Mar 02 08:16:48 GMT 2023","Thu Mar 02 08:16:49 GMT 2023","954","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"passed","Thu Mar 02 08:16:54 GMT 2023","Thu Mar 02 08:17:00 GMT 2023","5581","","test google search","","search facebook in google","","search facebook in google",""
"passed","Thu Mar 02 08:16:43 GMT 2023","Thu Mar 02 08:16:48 GMT 2023","4515","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"passed","Thu Mar 02 08:16:40 GMT 2023","Thu Mar 02 08:16:43 GMT 2023","2236","","Demo API","","test get api","","test get api",""
"passed","Thu Mar 02 08:17:06 GMT 2023","Thu Mar 02 08:17:11 GMT 2023","4637","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Thu Mar 02 08:17:16 GMT 2023","Thu Mar 02 08:17:21 GMT 2023","4803","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Thu Mar 02 08:17:11 GMT 2023","Thu Mar 02 08:17:16 GMT 2023","4942","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Thu Mar 02 08:16:43 GMT 2023","Thu Mar 02 08:16:43 GMT 2023","414","","Demo API","","test post api","","test post api",""
"passed","Thu Mar 02 08:16:49 GMT 2023","Thu Mar 02 08:16:54 GMT 2023","5728","","test google search","","search youtube in google","","search youtube in google",""
"passed","Thu Mar 02 08:17:00 GMT 2023","Thu Mar 02 08:17:06 GMT 2023","6294","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
