"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","393","Radio ""Impressive"" Button","","Wed Dec 24 08:25:15 UTC 2025","broken","Wed Dec 24 08:25:16 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","320","search facebook in google","","Wed Dec 24 08:25:16 UTC 2025","broken","Wed Dec 24 08:25:16 UTC 2025","","test google search","search facebook in google",""
"","269","search ""review cong ty"" in google","","Wed Dec 24 08:25:17 UTC 2025","broken","Wed Dec 24 08:25:17 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","1870","test get api","","Wed Dec 24 08:25:06 UTC 2025","passed","Wed Dec 24 08:25:08 UTC 2025","","Demo API","test get api",""
"","6696","Radio ""Yes"" Button","","Wed Dec 24 08:25:08 UTC 2025","broken","Wed Dec 24 08:25:15 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","315","search ""fsoft"" in google","","Wed Dec 24 08:25:17 UTC 2025","broken","Wed Dec 24 08:25:18 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","155","test post api","","Wed Dec 24 08:25:08 UTC 2025","failed","Wed Dec 24 08:25:08 UTC 2025","","Demo API","test post api",""
"","268","search ""CMC"" in google","","Wed Dec 24 08:25:17 UTC 2025","broken","Wed Dec 24 08:25:17 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","270","search ""review cong ty"" in google","","Wed Dec 24 08:25:18 UTC 2025","broken","Wed Dec 24 08:25:18 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","318","search ""CMC"" in google","","Wed Dec 24 08:25:16 UTC 2025","broken","Wed Dec 24 08:25:17 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","374","search youtube in google","","Wed Dec 24 08:25:16 UTC 2025","broken","Wed Dec 24 08:25:16 UTC 2025","","test google search","search youtube in google",""
"","266","search ""fsoft"" in google","","Wed Dec 24 08:25:17 UTC 2025","broken","Wed Dec 24 08:25:17 UTC 2025","","test google search outline","search ""fsoft"" in google",""
