"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Oct 31 08:14:17 GMT 2023","Tue Oct 31 08:14:18 GMT 2023","272","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Oct 31 08:14:16 GMT 2023","Tue Oct 31 08:14:17 GMT 2023","288","","test google search","","search youtube in google","","search youtube in google",""
"passed","Tue Oct 31 08:14:11 GMT 2023","Tue Oct 31 08:14:13 GMT 2023","2325","","Demo API","","test get api","","test get api",""
"broken","Tue Oct 31 08:14:17 GMT 2023","Tue Oct 31 08:14:17 GMT 2023","287","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Oct 31 08:14:18 GMT 2023","Tue Oct 31 08:14:18 GMT 2023","252","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Oct 31 08:14:18 GMT 2023","Tue Oct 31 08:14:19 GMT 2023","254","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Oct 31 08:14:18 GMT 2023","Tue Oct 31 08:14:18 GMT 2023","277","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Oct 31 08:14:18 GMT 2023","Tue Oct 31 08:14:18 GMT 2023","279","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Oct 31 08:14:16 GMT 2023","Tue Oct 31 08:14:16 GMT 2023","445","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Tue Oct 31 08:14:17 GMT 2023","Tue Oct 31 08:14:17 GMT 2023","279","","test google search","","search facebook in google","","search facebook in google",""
"passed","Tue Oct 31 08:14:13 GMT 2023","Tue Oct 31 08:14:13 GMT 2023","390","","Demo API","","test post api","","test post api",""
"broken","Tue Oct 31 08:14:13 GMT 2023","Tue Oct 31 08:14:16 GMT 2023","2362","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
