"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","315","search ""review cong ty"" in google","","Wed Jul 23 08:24:36 GMT 2025","broken","Wed Jul 23 08:24:36 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","369","search ""fsoft"" in google","","Wed Jul 23 08:24:34 GMT 2025","broken","Wed Jul 23 08:24:35 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","440","Radio ""Impressive"" Button","","Wed Jul 23 08:24:33 GMT 2025","broken","Wed Jul 23 08:24:33 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","9857","Radio ""Yes"" Button","","Wed Jul 23 08:24:23 GMT 2025","broken","Wed Jul 23 08:24:33 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","332","search youtube in google","","Wed Jul 23 08:24:33 GMT 2025","broken","Wed Jul 23 08:24:34 GMT 2025","","test google search","search youtube in google",""
"","1932","test get api","","Wed Jul 23 08:24:21 GMT 2025","passed","Wed Jul 23 08:24:23 GMT 2025","","Demo API","test get api",""
"","322","search ""review cong ty"" in google","","Wed Jul 23 08:24:35 GMT 2025","broken","Wed Jul 23 08:24:35 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","391","test post api","","Wed Jul 23 08:24:23 GMT 2025","failed","Wed Jul 23 08:24:23 GMT 2025","","Demo API","test post api",""
"","319","search ""CMC"" in google","","Wed Jul 23 08:24:35 GMT 2025","broken","Wed Jul 23 08:24:36 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","367","search ""fsoft"" in google","","Wed Jul 23 08:24:36 GMT 2025","broken","Wed Jul 23 08:24:36 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","377","search ""CMC"" in google","","Wed Jul 23 08:24:34 GMT 2025","broken","Wed Jul 23 08:24:34 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","328","search facebook in google","","Wed Jul 23 08:24:34 GMT 2025","broken","Wed Jul 23 08:24:34 GMT 2025","","test google search","search facebook in google",""
