"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Feb 23 15:12:14 GMT 2024","Fri Feb 23 15:12:14 GMT 2024","222","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Fri Feb 23 15:12:14 GMT 2024","Fri Feb 23 15:12:14 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Fri Feb 23 15:12:01 GMT 2024","Fri Feb 23 15:12:03 GMT 2024","1914","","Demo API","","test get api","","test get api",""
"broken","Fri Feb 23 15:12:13 GMT 2024","Fri Feb 23 15:12:13 GMT 2024","271","","test google search","","search youtube in google","","search youtube in google",""
"broken","Fri Feb 23 15:12:12 GMT 2024","Fri Feb 23 15:12:13 GMT 2024","348","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"passed","Fri Feb 23 15:12:03 GMT 2024","Fri Feb 23 15:12:03 GMT 2024","300","","Demo API","","test post api","","test post api",""
"broken","Fri Feb 23 15:12:13 GMT 2024","Fri Feb 23 15:12:13 GMT 2024","223","","test google search","","search facebook in google","","search facebook in google",""
"broken","Fri Feb 23 15:12:14 GMT 2024","Fri Feb 23 15:12:15 GMT 2024","216","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Fri Feb 23 15:12:13 GMT 2024","Fri Feb 23 15:12:14 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Feb 23 15:12:13 GMT 2024","Fri Feb 23 15:12:13 GMT 2024","270","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Fri Feb 23 15:12:03 GMT 2024","Fri Feb 23 15:12:12 GMT 2024","8883","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Fri Feb 23 15:12:14 GMT 2024","Fri Feb 23 15:12:14 GMT 2024","265","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
