"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","365","search ""fsoft"" in google","","Thu Jul 31 15:18:55 GMT 2025","broken","Thu Jul 31 15:18:55 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","331","search facebook in google","","Thu Jul 31 15:18:53 GMT 2025","broken","Thu Jul 31 15:18:53 GMT 2025","","test google search","search facebook in google",""
"","320","test post api","","Thu Jul 31 15:18:41 GMT 2025","failed","Thu Jul 31 15:18:41 GMT 2025","","Demo API","test post api",""
"","315","search ""CMC"" in google","","Thu Jul 31 15:18:54 GMT 2025","broken","Thu Jul 31 15:18:55 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","328","search youtube in google","","Thu Jul 31 15:18:52 GMT 2025","broken","Thu Jul 31 15:18:53 GMT 2025","","test google search","search youtube in google",""
"","366","search ""fsoft"" in google","","Thu Jul 31 15:18:54 GMT 2025","broken","Thu Jul 31 15:18:54 GMT 2025","","test google search outline","search ""fsoft"" in google",""
"","11038","Radio ""Yes"" Button","","Thu Jul 31 15:18:41 GMT 2025","broken","Thu Jul 31 15:18:52 GMT 2025","","Demo QA site","Radio ""Yes"" Button",""
"","2017","test get api","","Thu Jul 31 15:18:38 GMT 2025","passed","Thu Jul 31 15:18:40 GMT 2025","","Demo API","test get api",""
"","503","Radio ""Impressive"" Button","","Thu Jul 31 15:18:52 GMT 2025","broken","Thu Jul 31 15:18:52 GMT 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","320","search ""review cong ty"" in google","","Thu Jul 31 15:18:55 GMT 2025","broken","Thu Jul 31 15:18:55 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
"","431","search ""CMC"" in google","","Thu Jul 31 15:18:53 GMT 2025","broken","Thu Jul 31 15:18:54 GMT 2025","","test google search outline","search ""CMC"" in google",""
"","368","search ""review cong ty"" in google","","Thu Jul 31 15:18:54 GMT 2025","broken","Thu Jul 31 15:18:54 GMT 2025","","test google search outline","search ""review cong ty"" in google",""
