"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","317","search ""fsoft"" in google","","Wed Jan 14 08:26:13 UTC 2026","broken","Wed Jan 14 08:26:13 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","322","search ""CMC"" in google","","Wed Jan 14 08:26:12 UTC 2026","broken","Wed Jan 14 08:26:12 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","320","search ""CMC"" in google","","Wed Jan 14 08:26:13 UTC 2026","broken","Wed Jan 14 08:26:13 UTC 2026","","test google search outline","search ""CMC"" in google",""
"","1852","test get api","","Wed Jan 14 08:26:01 UTC 2026","passed","Wed Jan 14 08:26:03 UTC 2026","","Demo API","test get api",""
"","417","search facebook in google","","Wed Jan 14 08:26:11 UTC 2026","broken","Wed Jan 14 08:26:12 UTC 2026","","test google search","search facebook in google",""
"","167","test post api","","Wed Jan 14 08:26:03 UTC 2026","failed","Wed Jan 14 08:26:03 UTC 2026","","Demo API","test post api",""
"","7355","Radio ""Yes"" Button","","Wed Jan 14 08:26:03 UTC 2026","broken","Wed Jan 14 08:26:11 UTC 2026","","Demo QA site","Radio ""Yes"" Button",""
"","319","search ""fsoft"" in google","","Wed Jan 14 08:26:12 UTC 2026","broken","Wed Jan 14 08:26:12 UTC 2026","","test google search outline","search ""fsoft"" in google",""
"","317","search ""review cong ty"" in google","","Wed Jan 14 08:26:13 UTC 2026","broken","Wed Jan 14 08:26:14 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","504","Radio ""Impressive"" Button","","Wed Jan 14 08:26:11 UTC 2026","broken","Wed Jan 14 08:26:11 UTC 2026","","Demo QA site","Radio ""Impressive"" Button",""
"","317","search ""review cong ty"" in google","","Wed Jan 14 08:26:12 UTC 2026","broken","Wed Jan 14 08:26:13 UTC 2026","","test google search outline","search ""review cong ty"" in google",""
"","324","search youtube in google","","Wed Jan 14 08:26:11 UTC 2026","broken","Wed Jan 14 08:26:11 UTC 2026","","test google search","search youtube in google",""
