"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 15:12:56 GMT 2024","Thu Jul 25 15:12:58 GMT 2024","1824","","Demo API","","test get api","","test get api",""
"broken","Thu Jul 25 15:13:06 GMT 2024","Thu Jul 25 15:13:06 GMT 2024","269","","test google search","","search facebook in google","","search facebook in google",""
"broken","Thu Jul 25 15:13:07 GMT 2024","Thu Jul 25 15:13:07 GMT 2024","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Thu Jul 25 15:13:05 GMT 2024","Thu Jul 25 15:13:05 GMT 2024","349","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Thu Jul 25 15:13:06 GMT 2024","Thu Jul 25 15:13:07 GMT 2024","269","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Thu Jul 25 15:13:07 GMT 2024","Thu Jul 25 15:13:08 GMT 2024","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Thu Jul 25 15:13:07 GMT 2024","Thu Jul 25 15:13:07 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Thu Jul 25 15:13:05 GMT 2024","Thu Jul 25 15:13:06 GMT 2024","273","","test google search","","search youtube in google","","search youtube in google",""
"broken","Thu Jul 25 15:13:06 GMT 2024","Thu Jul 25 15:13:06 GMT 2024","270","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Thu Jul 25 15:12:58 GMT 2024","Thu Jul 25 15:12:58 GMT 2024","296","","Demo API","","test post api","","test post api",""
"broken","Thu Jul 25 15:13:07 GMT 2024","Thu Jul 25 15:13:07 GMT 2024","267","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Thu Jul 25 15:12:58 GMT 2024","Thu Jul 25 15:13:05 GMT 2024","6665","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
