"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","320","search ""review cong ty"" in google","","Thu Dec 04 15:21:07 UTC 2025","broken","Thu Dec 04 15:21:07 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","319","search ""fsoft"" in google","","Thu Dec 04 15:21:07 UTC 2025","broken","Thu Dec 04 15:21:07 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","30672","Radio ""Yes"" Button","","Thu Dec 04 15:20:34 UTC 2025","broken","Thu Dec 04 15:21:04 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","669","search facebook in google","","Thu Dec 04 15:21:06 UTC 2025","broken","Thu Dec 04 15:21:06 UTC 2025","","test google search","search facebook in google",""
"","143","test post api","","Thu Dec 04 15:20:34 UTC 2025","failed","Thu Dec 04 15:20:34 UTC 2025","","Demo API","test post api",""
"","826","search youtube in google","","Thu Dec 04 15:21:05 UTC 2025","broken","Thu Dec 04 15:21:06 UTC 2025","","test google search","search youtube in google",""
"","273","search ""review cong ty"" in google","","Thu Dec 04 15:21:08 UTC 2025","broken","Thu Dec 04 15:21:08 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","316","search ""fsoft"" in google","","Thu Dec 04 15:21:08 UTC 2025","broken","Thu Dec 04 15:21:08 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","2011","test get api","","Thu Dec 04 15:20:31 UTC 2025","passed","Thu Dec 04 15:20:33 UTC 2025","","Demo API","test get api",""
"","487","Radio ""Impressive"" Button","","Thu Dec 04 15:21:04 UTC 2025","broken","Thu Dec 04 15:21:05 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","326","search ""CMC"" in google","","Thu Dec 04 15:21:06 UTC 2025","broken","Thu Dec 04 15:21:07 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","316","search ""CMC"" in google","","Thu Dec 04 15:21:07 UTC 2025","broken","Thu Dec 04 15:21:08 UTC 2025","","test google search outline","search ""CMC"" in google",""
