"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 24 15:12:37 GMT 2023","Mon Jul 24 15:12:42 GMT 2023","5550","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Mon Jul 24 15:12:25 GMT 2023","Mon Jul 24 15:12:31 GMT 2023","5959","","test google search","","search youtube in google","","search youtube in google",""
"passed","Mon Jul 24 15:12:52 GMT 2023","Mon Jul 24 15:12:59 GMT 2023","6318","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Mon Jul 24 15:12:10 GMT 2023","Mon Jul 24 15:12:24 GMT 2023","13938","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"passed","Mon Jul 24 15:12:24 GMT 2023","Mon Jul 24 15:12:25 GMT 2023","1518","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"passed","Mon Jul 24 15:12:59 GMT 2023","Mon Jul 24 15:13:03 GMT 2023","4387","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Mon Jul 24 15:12:07 GMT 2023","Mon Jul 24 15:12:10 GMT 2023","2322","","Demo API","","test get api","","test get api",""
"passed","Mon Jul 24 15:12:42 GMT 2023","Mon Jul 24 15:12:47 GMT 2023","4556","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Mon Jul 24 15:13:03 GMT 2023","Mon Jul 24 15:13:09 GMT 2023","5620","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Mon Jul 24 15:12:10 GMT 2023","Mon Jul 24 15:12:10 GMT 2023","310","","Demo API","","test post api","","test post api",""
"passed","Mon Jul 24 15:12:31 GMT 2023","Mon Jul 24 15:12:37 GMT 2023","5466","","test google search","","search facebook in google","","search facebook in google",""
"passed","Mon Jul 24 15:12:47 GMT 2023","Mon Jul 24 15:12:52 GMT 2023","5338","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
