"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Apr 12 08:14:03 GMT 2024","Fri Apr 12 08:14:03 GMT 2024","270","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Fri Apr 12 08:14:00 GMT 2024","Fri Apr 12 08:14:00 GMT 2024","418","","Demo API","","test post api","","test post api",""
"broken","Fri Apr 12 08:14:00 GMT 2024","Fri Apr 12 08:14:02 GMT 2024","2355","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Fri Apr 12 08:14:04 GMT 2024","Fri Apr 12 08:14:04 GMT 2024","220","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Apr 12 08:14:03 GMT 2024","Fri Apr 12 08:14:03 GMT 2024","269","","test google search","","search facebook in google","","search facebook in google",""
"broken","Fri Apr 12 08:14:02 GMT 2024","Fri Apr 12 08:14:03 GMT 2024","353","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Fri Apr 12 08:14:04 GMT 2024","Fri Apr 12 08:14:04 GMT 2024","217","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Fri Apr 12 08:14:04 GMT 2024","Fri Apr 12 08:14:04 GMT 2024","225","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"passed","Fri Apr 12 08:13:57 GMT 2024","Fri Apr 12 08:13:59 GMT 2024","2027","","Demo API","","test get api","","test get api",""
"broken","Fri Apr 12 08:14:04 GMT 2024","Fri Apr 12 08:14:04 GMT 2024","215","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Fri Apr 12 08:14:03 GMT 2024","Fri Apr 12 08:14:03 GMT 2024","233","","test google search","","search youtube in google","","search youtube in google",""
"broken","Fri Apr 12 08:14:04 GMT 2024","Fri Apr 12 08:14:05 GMT 2024","267","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
