"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1623","test get api","","Fri Oct 10 08:20:44 UTC 2025","passed","Fri Oct 10 08:20:45 UTC 2025","","Demo API","test get api",""
"","9076","Radio ""Yes"" Button","","Fri Oct 10 08:20:45 UTC 2025","broken","Fri Oct 10 08:20:55 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","269","search facebook in google","","Fri Oct 10 08:20:55 UTC 2025","broken","Fri Oct 10 08:20:56 UTC 2025","","test google search","search facebook in google",""
"","500","Radio ""Impressive"" Button","","Fri Oct 10 08:20:55 UTC 2025","broken","Fri Oct 10 08:20:55 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","266","search ""review cong ty"" in google","","Fri Oct 10 08:20:57 UTC 2025","broken","Fri Oct 10 08:20:57 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","268","search ""CMC"" in google","","Fri Oct 10 08:20:57 UTC 2025","broken","Fri Oct 10 08:20:57 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","268","search ""fsoft"" in google","","Fri Oct 10 08:20:56 UTC 2025","broken","Fri Oct 10 08:20:56 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","265","search ""fsoft"" in google","","Fri Oct 10 08:20:57 UTC 2025","broken","Fri Oct 10 08:20:57 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","268","search ""review cong ty"" in google","","Fri Oct 10 08:20:56 UTC 2025","broken","Fri Oct 10 08:20:57 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","277","test post api","","Fri Oct 10 08:20:45 UTC 2025","failed","Fri Oct 10 08:20:45 UTC 2025","","Demo API","test post api",""
"","274","search ""CMC"" in google","","Fri Oct 10 08:20:56 UTC 2025","broken","Fri Oct 10 08:20:56 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","323","search youtube in google","","Fri Oct 10 08:20:55 UTC 2025","broken","Fri Oct 10 08:20:55 UTC 2025","","test google search","search youtube in google",""
