"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 06 08:16:44 GMT 2023","Thu Jul 06 08:16:45 GMT 2023","272","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Thu Jul 06 08:16:45 GMT 2023","Thu Jul 06 08:16:46 GMT 2023","263","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Thu Jul 06 08:16:43 GMT 2023","Thu Jul 06 08:16:44 GMT 2023","288","","test google search","","search youtube in google","","search youtube in google",""
"passed","Thu Jul 06 08:16:40 GMT 2023","Thu Jul 06 08:16:40 GMT 2023","430","","Demo API","","test post api","","test post api",""
"broken","Thu Jul 06 08:16:45 GMT 2023","Thu Jul 06 08:16:45 GMT 2023","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Thu Jul 06 08:16:37 GMT 2023","Thu Jul 06 08:16:39 GMT 2023","2718","","Demo API","","test get api","","test get api",""
"broken","Thu Jul 06 08:16:45 GMT 2023","Thu Jul 06 08:16:45 GMT 2023","277","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Thu Jul 06 08:16:43 GMT 2023","Thu Jul 06 08:16:43 GMT 2023","371","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Thu Jul 06 08:16:40 GMT 2023","Thu Jul 06 08:16:43 GMT 2023","2894","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Thu Jul 06 08:16:45 GMT 2023","Thu Jul 06 08:16:45 GMT 2023","256","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Thu Jul 06 08:16:44 GMT 2023","Thu Jul 06 08:16:44 GMT 2023","283","","test google search","","search facebook in google","","search facebook in google",""
"broken","Thu Jul 06 08:16:44 GMT 2023","Thu Jul 06 08:16:44 GMT 2023","272","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
