"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jun 18 15:12:49 GMT 2024","Tue Jun 18 15:12:50 GMT 2024","271","","test google search","","search facebook in google","","search facebook in google",""
"broken","Tue Jun 18 15:12:50 GMT 2024","Tue Jun 18 15:12:51 GMT 2024","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Tue Jun 18 15:12:49 GMT 2024","Tue Jun 18 15:12:49 GMT 2024","275","","test google search","","search youtube in google","","search youtube in google",""
"broken","Tue Jun 18 15:12:51 GMT 2024","Tue Jun 18 15:12:51 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Tue Jun 18 15:12:51 GMT 2024","Tue Jun 18 15:12:51 GMT 2024","219","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"passed","Tue Jun 18 15:12:45 GMT 2024","Tue Jun 18 15:12:46 GMT 2024","1818","","Demo API","","test get api","","test get api",""
"broken","Tue Jun 18 15:12:50 GMT 2024","Tue Jun 18 15:12:50 GMT 2024","223","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Jun 18 15:12:47 GMT 2024","Tue Jun 18 15:12:49 GMT 2024","1985","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"passed","Tue Jun 18 15:12:46 GMT 2024","Tue Jun 18 15:12:47 GMT 2024","310","","Demo API","","test post api","","test post api",""
"broken","Tue Jun 18 15:12:51 GMT 2024","Tue Jun 18 15:12:51 GMT 2024","218","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Tue Jun 18 15:12:49 GMT 2024","Tue Jun 18 15:12:49 GMT 2024","398","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Tue Jun 18 15:12:50 GMT 2024","Tue Jun 18 15:12:50 GMT 2024","267","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
