"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 31 08:15:47 GMT 2024","Wed Jul 31 08:15:48 GMT 2024","308","","Demo API","","test post api","","test post api",""
"broken","Wed Jul 31 08:15:57 GMT 2024","Wed Jul 31 08:15:57 GMT 2024","266","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Wed Jul 31 08:15:46 GMT 2024","Wed Jul 31 08:15:47 GMT 2024","1706","","Demo API","","test get api","","test get api",""
"broken","Wed Jul 31 08:15:57 GMT 2024","Wed Jul 31 08:15:57 GMT 2024","268","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Wed Jul 31 08:15:55 GMT 2024","Wed Jul 31 08:15:56 GMT 2024","344","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Wed Jul 31 08:15:57 GMT 2024","Wed Jul 31 08:15:58 GMT 2024","266","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed Jul 31 08:15:57 GMT 2024","Wed Jul 31 08:15:57 GMT 2024","268","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed Jul 31 08:15:56 GMT 2024","Wed Jul 31 08:15:57 GMT 2024","269","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Wed Jul 31 08:15:56 GMT 2024","Wed Jul 31 08:15:56 GMT 2024","273","","test google search","","search youtube in google","","search youtube in google",""
"broken","Wed Jul 31 08:15:56 GMT 2024","Wed Jul 31 08:15:56 GMT 2024","270","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Wed Jul 31 08:15:48 GMT 2024","Wed Jul 31 08:15:55 GMT 2024","7565","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Wed Jul 31 08:15:56 GMT 2024","Wed Jul 31 08:15:56 GMT 2024","216","","test google search","","search facebook in google","","search facebook in google",""
