"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","374","search facebook in google","","Tue Aug 19 08:21:46 UTC 2025","broken","Tue Aug 19 08:21:47 UTC 2025","","test google search","search facebook in google",""
"","326","search youtube in google","","Tue Aug 19 08:21:46 UTC 2025","broken","Tue Aug 19 08:21:46 UTC 2025","","test google search","search youtube in google",""
"","315","search ""fsoft"" in google","","Tue Aug 19 08:21:48 UTC 2025","broken","Tue Aug 19 08:21:48 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","317","search ""review cong ty"" in google","","Tue Aug 19 08:21:47 UTC 2025","broken","Tue Aug 19 08:21:48 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","259","test post api","","Tue Aug 19 08:21:39 UTC 2025","failed","Tue Aug 19 08:21:39 UTC 2025","","Demo API","test post api",""
"","6650","Radio ""Yes"" Button","","Tue Aug 19 08:21:39 UTC 2025","broken","Tue Aug 19 08:21:45 UTC 2025","","Demo QA site","Radio ""Yes"" Button",""
"","315","search ""review cong ty"" in google","","Tue Aug 19 08:21:48 UTC 2025","broken","Tue Aug 19 08:21:49 UTC 2025","","test google search outline","search ""review cong ty"" in google",""
"","407","Radio ""Impressive"" Button","","Tue Aug 19 08:21:45 UTC 2025","broken","Tue Aug 19 08:21:46 UTC 2025","","Demo QA site","Radio ""Impressive"" Button",""
"","320","search ""fsoft"" in google","","Tue Aug 19 08:21:47 UTC 2025","broken","Tue Aug 19 08:21:47 UTC 2025","","test google search outline","search ""fsoft"" in google",""
"","316","search ""CMC"" in google","","Tue Aug 19 08:21:48 UTC 2025","broken","Tue Aug 19 08:21:48 UTC 2025","","test google search outline","search ""CMC"" in google",""
"","1732","test get api","","Tue Aug 19 08:21:37 UTC 2025","passed","Tue Aug 19 08:21:38 UTC 2025","","Demo API","test get api",""
"","319","search ""CMC"" in google","","Tue Aug 19 08:21:47 UTC 2025","broken","Tue Aug 19 08:21:47 UTC 2025","","test google search outline","search ""CMC"" in google",""
