"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 17 08:14:03 GMT 2023","Wed May 17 08:14:04 GMT 2023","245","","test google search","","search youtube in google","","search youtube in google",""
"broken","Wed May 17 08:14:01 GMT 2023","Wed May 17 08:14:03 GMT 2023","2159","","Demo QA site","","Radio ""Yes"" Button","","Radio ""Yes"" Button",""
"broken","Wed May 17 08:14:04 GMT 2023","Wed May 17 08:14:05 GMT 2023","220","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed May 17 08:14:04 GMT 2023","Wed May 17 08:14:04 GMT 2023","248","","test google search","","search facebook in google","","search facebook in google",""
"passed","Wed May 17 08:14:01 GMT 2023","Wed May 17 08:14:01 GMT 2023","307","","Demo API","","test post api","","test post api",""
"broken","Wed May 17 08:14:04 GMT 2023","Wed May 17 08:14:04 GMT 2023","243","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"passed","Wed May 17 08:13:58 GMT 2023","Wed May 17 08:14:00 GMT 2023","2075","","Demo API","","test get api","","test get api",""
"broken","Wed May 17 08:14:05 GMT 2023","Wed May 17 08:14:05 GMT 2023","206","","test google search outline","","search ""review cong ty"" in google","","search ""review cong ty"" in google",""
"broken","Wed May 17 08:14:05 GMT 2023","Wed May 17 08:14:05 GMT 2023","222","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
"broken","Wed May 17 08:14:05 GMT 2023","Wed May 17 08:14:05 GMT 2023","257","","test google search outline","","search ""fsoft"" in google","","search ""fsoft"" in google",""
"broken","Wed May 17 08:14:03 GMT 2023","Wed May 17 08:14:03 GMT 2023","291","","Demo QA site","","Radio ""Impressive"" Button","","Radio ""Impressive"" Button",""
"broken","Wed May 17 08:14:04 GMT 2023","Wed May 17 08:14:04 GMT 2023","230","","test google search outline","","search ""CMC"" in google","","search ""CMC"" in google",""
